u,v,key,osmid,ref,name,highway,maxspeed,oneway,length,org_geom,lanes,junction,bridge,access,service,geometry
2233719,2233726,0,2991404,A4130,Hart Street,primary,30 mph,False,11.938,"LINESTRING (-0.9008461 51.5375621, -0.9010185000000001 51.5375569)",,,,,,"[(-0.9008461, 51.5375621), (-0.9010185, 51.5375569)]"
2233719,5758718250,0,"[44643305, 607711199]",,,footway,,False,13.654,"LINESTRING (-0.9008461 51.5375621, -0.9008401 51.5376096, -0.9009476 51.5376439)",,,,,,"[(-0.9008461, 51.5375621), (-0.9008401, 51.5376096), (-0.9009476, 51.5376439)]"
2233726,2233719,0,2991404,A4130,Hart Street,primary,30 mph,False,11.938,"LINESTRING (-0.9010185000000001 51.5375569, -0.9008461 51.5375621)",,,,,,"[(-0.9010185, 51.5375569), (-0.9008461, 51.5375621)]"
2233726,373555734,0,159968876,A4130,Hart Street,primary,30 mph,False,3.702,"LINESTRING (-0.9010185000000001 51.5375569, -0.901072 51.5375558)",,,,,,"[(-0.9010185, 51.5375569), (-0.901072, 51.5375558)]"
2233776,3217323570,0,2991406,A4155,Bell Street,primary,30 mph,True,101.155,"LINESTRING (-0.9045953 51.5375441, -0.9047286 51.537714, -0.9048026 51.5379999, -0.9048108 51.5382037, -0.9047927 51.5384095, -0.9047929 51.5384306)",1,,,,,"[(-0.9045953, 51.5375441), (-0.9047286, 51.537714), (-0.9048026, 51.5379999), (-0.9048108, 51.5382037), (-0.9047927, 51.5384095), (-0.9047929, 51.5384306)]"
2233776,12177338,0,4089288,,Market Place,unclassified,20 mph,True,103.608,"LINESTRING (-0.9045953 51.5375441, -0.9050008 51.537498, -0.9053519 51.5374492, -0.9060268 51.5372827)",,,,,,"[(-0.9045953, 51.5375441), (-0.9050008, 51.537498), (-0.9053519, 51.5374492), (-0.9060268, 51.5372827)]"
2233776,3231957137,0,33104163,A4130,Hart Street,primary,30 mph,False,149.738,"LINESTRING (-0.9045953 51.5375441, -0.9044136 51.5375623, -0.9037017000000001 51.537627, -0.9029447 51.5376858, -0.9026499 51.5376911, -0.9024464 51.5376857)",,,,,,"[(-0.9045953, 51.5375441), (-0.9044136, 51.5375623), (-0.9037017, 51.537627), (-0.9029447, 51.5376858), (-0.9026499, 51.5376911), (-0.9024464, 51.5376857)]"
2233938,424202467,0,36372293,,Radnor Close,residential,,False,71.784,"LINESTRING (-0.9024529 51.5391652, -0.9022824 51.539802)",,,,,,"[(-0.9024529, 51.5391652), (-0.9022824, 51.539802)]"
2233938,3264026246,0,154945680,,New Street,primary,30 mph,True,35.042,"LINESTRING (-0.9024529 51.5391652, -0.9020932 51.5391145, -0.9019586000000001 51.539096)",2,,,,,"[(-0.9024529, 51.5391652), (-0.9020932, 51.5391145), (-0.9019586, 51.539096)]"
2234061,1400101526,0,23624395,,Queen Street,residential,,False,69.727,"LINESTRING (-0.9027139 51.5363987, -0.9023866 51.5358056)",,,,,,"[(-0.9027139, 51.5363987), (-0.9023866, 51.5358056)]"
2234061,1400101530,0,23624398,,Friday Street,residential,,False,53.568,"LINESTRING (-0.9027139 51.5363987, -0.9019487 51.5364731)",,,,,,"[(-0.9027139, 51.5363987), (-0.9019487, 51.5364731)]"
2234080,3240913518,0,23624395,,Queen Street,residential,,False,96.132,"LINESTRING (-0.9023357 51.5357321, -0.9020017 51.5348929)",,,,,,"[(-0.9023357, 51.5357321), (-0.9020017, 51.5348929)]"
2234080,1400101526,0,23624395,,Queen Street,residential,,False,8.899,"LINESTRING (-0.9023357 51.5357321, -0.9023866 51.5358056)",,,,,,"[(-0.9023357, 51.5357321), (-0.9023866, 51.5358056)]"
2234080,418044280,0,35740045,,Queen Close,residential,,False,42.314,"LINESTRING (-0.9023357 51.5357321, -0.9019952 51.5357446, -0.9019392000000001 51.5356955, -0.9018794999999999 51.5355939)",,,,,,"[(-0.9023357, 51.5357321), (-0.9019952, 51.5357446), (-0.9019392, 51.5356955), (-0.9018795, 51.5355939)]"
2234115,7861630733,0,23624395,,Queen Street,residential,,False,7.468,"LINESTRING (-0.9017902 51.5343522, -0.9018126 51.5344179)",,,,,,"[(-0.9017902, 51.5343522), (-0.9018126, 51.5344179)]"
2234115,7861605868,0,35740044,,Wyndale Close,residential,20 mph,False,44.497,"LINESTRING (-0.9017902 51.5343522, -0.9016399 51.5339631)",,,,,,"[(-0.9017902, 51.5343522), (-0.9016399, 51.5339631)]"
2234115,257336166,0,842716452,,Station Road,secondary,30 mph,True,60.804,"LINESTRING (-0.9017902 51.5343522, -0.9023705 51.5342518, -0.902412 51.5342435, -0.902644 51.5342291)",2,,,,,"[(-0.9017902, 51.5343522), (-0.9023705, 51.5342518), (-0.902412, 51.5342435), (-0.902644, 51.5342291)]"
2234178,419321903,0,4586362,,Badgemore Lane,residential,,False,26.251,"LINESTRING (-0.9056752 51.5416404, -0.9059735 51.5414944)",,,,,,"[(-0.9056752, 51.5416404), (-0.9059735, 51.5414944)]"
2234178,419321897,0,135000014,A4130,Northfield End,primary,30 mph,False,43.296,"LINESTRING (-0.9056752 51.5416404, -0.9059727 51.5418351, -0.9061108 51.54192)",,,,,,"[(-0.9056752, 51.5416404), (-0.9059727, 51.5418351), (-0.9061108, 51.54192)]"
