osmid,y,x,street_count,highway,geometry
2233719,51.5375621,-0.9008461,3,,POINT (-0.9008461 51.5375621)
2233726,51.5375569,-0.9010185,3,traffic_signals,POINT (-0.9010185000000001 51.5375569)
2233776,51.5375441,-0.9045953,4,traffic_signals,POINT (-0.9045953 51.5375441)
2233938,51.5391652,-0.9024529,3,,POINT (-0.9024529 51.5391652)
2234061,51.5363987,-0.9027139,3,,POINT (-0.9027139 51.5363987)
2234080,51.5357321,-0.9023357,3,,POINT (-0.9023357 51.5357321)
2234115,51.5343522,-0.9017902,4,,POINT (-0.9017902 51.5343522)
2234178,51.5416404,-0.9056752,3,,POINT (-0.9056752 51.5416404)
2234196,51.5430957,-0.9081466,3,,POINT (-0.9081466 51.5430957)
2234204,51.5436758,-0.9094629,3,,POINT (-0.9094629 51.5436758)
2234234,51.5449067,-0.9122625,3,,POINT (-0.9122625 51.5449067)
8090760,51.527038,-0.9238456,5,,POINT (-0.9238456 51.527038)
12176460,51.5363429,-0.9038877,3,traffic_signals,POINT (-0.9038877 51.5363429)
12177108,51.5371877,-0.910699,3,,POINT (-0.910699 51.5371877)
12177126,51.5372356,-0.9065701,3,,POINT (-0.9065701 51.5372356)
12177284,51.5374832,-0.9066618,4,,POINT (-0.9066618 51.5374832)
12177338,51.5372827,-0.9060268,4,,POINT (-0.9060268 51.5372827)
12177601,51.5410438,-0.9048992,3,,POINT (-0.9048992 51.5410438)
15420363,51.5260924,-0.8947748,3,,POINT (-0.8947748 51.5260924)
15420364,51.5276323,-0.8959031,3,,POINT (-0.8959031 51.5276323)
15420366,51.5298299,-0.8985465,3,,POINT (-0.8985465 51.5298299)
15420667,51.5292809,-0.8877781,3,,POINT (-0.8877781 51.5292809)
15420671,51.5280562,-0.8937369,3,,POINT (-0.8937368999999999 51.5280562)
15429203,51.5324793,-0.8943649,3,,POINT (-0.8943649 51.5324793)
15429215,51.5355949,-0.8999591,3,,POINT (-0.8999591 51.5355949)
15870054,51.526287,-0.8949719,3,,POINT (-0.8949719 51.526287)
15870061,51.5262439,-0.8946463,3,,POINT (-0.8946463 51.5262439)
15870066,51.5317927,-0.9010646,3,,POINT (-0.9010646 51.5317927)
15870067,51.5302613,-0.8992065,3,,POINT (-0.8992065 51.5302613)
21762886,51.5403664,-0.9186792,3,,POINT (-0.9186792 51.5403664)
21895697,51.5304391,-0.9110697,3,,POINT (-0.9110697 51.5304391)
21896469,51.5319923,-0.9101489,4,,POINT (-0.9101489 51.5319923)
21896637,51.5350305,-0.9067451,4,,POINT (-0.9067451 51.5350305)
29009836,51.5410625,-0.9113661,4,,POINT (-0.9113661 51.5410625)
29009841,51.5412865,-0.9086955,3,,POINT (-0.9086955 51.5412865)
29009842,51.5410395,-0.9083514,3,,POINT (-0.9083514 51.5410395)
29009852,51.5411148,-0.9048584,3,,POINT (-0.9048584 51.5411148)
29729706,51.5372205,-0.9111748,3,,POINT (-0.9111748 51.5372205)
29729930,51.5360458,-0.9102644,3,,POINT (-0.9102644 51.5360458)
29729948,51.5356076,-0.9087904,3,,POINT (-0.9087904 51.5356076)
29729951,51.5350296,-0.9073324,3,,POINT (-0.9073324 51.5350296)
60335854,51.5353097,-0.9092338,3,,POINT (-0.9092338 51.5353097)
60335859,51.533464,-0.9129514,4,,POINT (-0.9129514 51.533464)
60335860,51.5330462,-0.9148907,3,,POINT (-0.9148906999999999 51.5330462)
60335862,51.5326445,-0.916107,3,,POINT (-0.916107 51.5326445)
60335864,51.5324024,-0.9164097,3,,POINT (-0.9164097 51.5324024)
254636090,51.5314959,-0.9007644,3,mini_roundabout,POINT (-0.9007644 51.5314959)
255902668,51.52832,-0.9167641,3,,POINT (-0.9167641 51.52832)
255902868,51.5318741,-0.9011583,3,,POINT (-0.9011583 51.5318741)
255903008,51.5328558,-0.9020121,3,,POINT (-0.9020121 51.5328558)
255914953,51.5291517,-0.9111128,3,,POINT (-0.9111127999999999 51.5291517)
256334240,51.5293318,-0.931867,3,,POINT (-0.931867 51.5293318)
257333878,51.5336336,-0.905104,3,,POINT (-0.905104 51.5336336)
257333989,51.5343422,-0.9059247,3,,POINT (-0.9059247 51.5343422)
257335318,51.5336477,-0.9077561,4,,POINT (-0.9077561 51.5336477)
257335322,51.5323628,-0.9099022,3,,POINT (-0.9099022 51.5323628)
257336166,51.5342291,-0.902644,4,,POINT (-0.902644 51.5342291)
257336972,51.5335676,-0.9050628,3,,POINT (-0.9050627999999999 51.5335676)
257336973,51.5342565,-0.9026574,3,,POINT (-0.9026574000000001 51.5342565)
257337247,51.535832,-0.9052829,3,,POINT (-0.9052829 51.535832)
257338001,51.5381839,-0.9068366,3,,POINT (-0.9068366 51.5381839)
257338064,51.538243,-0.9064049,3,,POINT (-0.9064049 51.538243)
258375467,51.5282065,-0.9165948,3,,POINT (-0.9165948 51.5282065)
258375468,51.5281106,-0.9167475,3,,POINT (-0.9167475 51.5281106)
258375469,51.5282207,-0.9169335,3,,POINT (-0.9169335 51.5282207)
258375470,51.5269047,-0.916758,3,,POINT (-0.916758 51.5269047)
258375474,51.528909,-0.9005525,3,,POINT (-0.9005525 51.528909)
258375475,51.5294906,-0.9005942,3,,POINT (-0.9005942 51.5294906)
258375476,51.5294304,-0.9011115,3,,POINT (-0.9011115 51.5294304)
258375478,51.528118,-0.9043734,3,,POINT (-0.9043734 51.528118)
258375479,51.5301604,-0.9052842,3,,POINT (-0.9052842 51.5301604)
258375480,51.5268543,-0.9038502,3,,POINT (-0.9038502 51.5268543)
271232065,51.5293401,-0.9073482,3,,POINT (-0.9073482 51.5293401)
271232069,51.5269892,-0.906351,4,,POINT (-0.906351 51.5269892)
271232071,51.5289182,-0.9083948,3,,POINT (-0.9083947999999999 51.5289182)
286304196,51.5268765,-0.895391,3,,POINT (-0.895391 51.5268765)
286304199,51.527541,-0.8973208,3,,POINT (-0.8973208 51.527541)
286304200,51.5269436,-0.8970762,3,,POINT (-0.8970762 51.5269436)
286304201,51.5270858,-0.8962809,3,,POINT (-0.8962809 51.5270858)
286304208,51.5267619,-0.897787,3,,POINT (-0.897787 51.5267619)
286304211,51.5262861,-0.8975828,1,,POINT (-0.8975828 51.5262861)
286304212,51.526455,-0.8976745,3,,POINT (-0.8976745 51.526455)
286304214,51.5265069,-0.8966546,1,,POINT (-0.8966546 51.5265069)
286304215,51.5268112,-0.8979651,1,,POINT (-0.8979651 51.5268112)
286304216,51.5273869,-0.8972702,3,,POINT (-0.8972702 51.5273869)
286304219,51.5272662,-0.8979082,1,,POINT (-0.8979082 51.5272662)
286304221,51.5271601,-0.9009823,4,,POINT (-0.9009823 51.5271601)
286304223,51.5268917,-0.9009677,3,,POINT (-0.9009677 51.5268917)
286304224,51.5269592,-0.900168,1,,POINT (-0.900168 51.5269592)
286310020,51.5261374,-0.9058704,1,,POINT (-0.9058704 51.5261374)
286310021,51.5258312,-0.9071996,3,,POINT (-0.9071996 51.5258312)
286310023,51.5261949,-0.9060613,3,,POINT (-0.9060613 51.5261949)
286310027,51.5254765,-0.9078766,3,,POINT (-0.9078766 51.5254765)
286310031,51.5252196,-0.9086461,3,,POINT (-0.9086461 51.5252196)
286310040,51.5253662,-0.9097242,3,,POINT (-0.9097242 51.5253662)
